55,190
55,182
23,182
23,154
50,154
50,145
23,145
23,121
55,121
55,112
12,112
12,190
55,190
82,190
82,112
73,112
73,190
104,190
104,112
150,112
150,150
138,150
156,190
145,190
127,157
115,157
115,121
137,121
137,146
115,146
115,190
171,190
171,113
206,113
218,127
208,150
223,168
211,189
182,190
181,120
200,121
207,130
201,145
182,145
182,156
201,156
211,167
202,182
183,182
182,190
272,190
272,182
289,171
293,151
285,127
269,121
252,127
245,150
251,175
271,183
272,190
294,182
304,150
293,119
270,112
245,120
234,150
240,178
272,190
342,190
343,121
366,121
366,112
308,112
308,121
331,121
332,190
250,190
110,190
55,190
189,270
149,262
130,302
115,268
109,258
119,240
102,216
93,177
96,150
111,146
124,133
135,135
140,140
142,150
140,174
133,190
123,194
114,190
109,181
108,160
11,146
96,150
111,120
136,97
122,64
123,40
133,26
136,32
129,46
139,71
152,93
180,85
175,58
160,34
146,28
136,32
133,26
152,23
173,34
188,59
194,59
206,38
221,28
238,26
232,30
222,34
210,51
203,85
231,90
250,57
249,40
243,33
232,30
238,26
252,34
256,47
255,76
244,96
262,111
283,137
268,141
255,135
247,140
242,161
244,183
252,194
261,198
274,191
278,178
277,158
268,141
283,137
291,179
283,218
263,243
270,262
261,273
244,278
230,264
189,270
191,243
158,230
152,212
152,187
164,171
191,163
192,177
206,182
207,194
200,201
191,204
191,221
198,220
205,214
211,215
207,222
196,228
185,227
171,217
171,213
177,214
183,218
191,221
191,204
181,200
176,192
175,183
182,177
191,176
193,163
216,171
228,183
232,204
227,224
209,238
191,243
189,270
