189,270
149,262
130,302
115,268
109,258
119,240
102,216
93,177
96,150
111,146
124,133
135,135
140,140
142,150
140,174
133,190
123,194
114,190
109,181
108,160
11,146
96,150
111,120
136,97
122,64
123,40
133,26
136,32
129,46
139,71
152,93
180,85
175,58
160,34
146,28
136,32
133,26
152,23
173,34
188,59
194,59
206,38
221,28
238,26
232,30
222,34
210,51
203,85
231,90
250,57
249,40
243,33
232,30
238,26
252,34
256,47
255,76
244,96
262,111
283,137
268,141
255,135
247,140
242,161
244,183
252,194
261,198
274,191
278,178
277,158
268,141
283,137
291,179
283,218
263,243
270,262
261,273
244,278
230,264
189,270
191,243
158,230
152,212
152,187
164,171
191,163
192,177
206,182
207,194
200,201
191,204
191,221
198,220
205,214
211,215
207,222
196,228
185,227
171,217
171,213
177,214
183,218
191,221
191,204
181,200
176,192
175,183
182,177
191,176
193,163
216,171
228,183
232,204
227,224
209,238
191,243
189,270
